T2m,WS10m
4.14,2.95
4.85,3.18
5.55,3.4
6.26,3.63
7.08,3.77
7.9,3.91
8.73,4.06
8.89,3.9
9.06,3.74
9.22,3.59
7.9,3.08
6.58,2.57
5.26,2.07
4.81,2.26
4.36,2.45
3.92,2.63
4.04,2.81
4.16,2.99
4.28,3.17
4.22,3.38
4.17,3.6
4.12,3.81
4.28,3.82
4.44,3.83
4.6,3.85
5.53,4.13
6.46,4.41
7.39,4.69
8.82,4.96
10.25,5.22
11.69,5.49
12.04,5.32
12.4,5.16
12.76,4.99
11.77,4.74
10.77,4.5
9.78,4.25
9.11,4.06
8.44,3.87
7.78,3.68
7.49,3.6
7.2,3.51
6.92,3.42
6.74,3.48
6.57,3.53
6.4,3.59
6.15,3.34
5.9,3.1
5.65,2.86
6.79,3.19
7.93,3.53
9.08,3.86
10.21,4.02
11.34,4.18
12.47,4.34
12.79,4.08
13.12,3.81
13.45,3.54
11.92,3.16
10.38,2.78
8.85,2.4
8.18,2.39
7.51,2.37
6.84,2.36
7.09,2.32
7.34,2.28
7.59,2.23
7.63,2.41
7.68,2.58
7.72,2.76
7.15,2.38
6.58,2
6.01,1.61
6.82,1.87
7.63,2.12
8.44,2.37
9.19,2.24
9.94,2.11
10.7,1.97
11.22,2.22
11.75,2.47
12.27,2.72
10.9,2.46
9.52,2.2
8.15,1.94
7.86,2.01
7.58,2.07
7.3,2.14
7.53,2.34
7.77,2.55
8.01,2.76
8.06,2.84
8.12,2.92
8.17,3.01
8.13,2.97
8.1,2.92
8.06,2.88
8.44,3.02
8.82,3.15
9.21,3.28
9.69,3.05
10.17,2.82
10.66,2.59
10.56,2.91
10.46,3.22
10.36,3.53
8.92,3.53
7.49,3.53
6.05,3.53
4.97,3.2
3.89,2.87
2.81,2.54
2.08,2.63
1.36,2.71
0.64,2.8
0.25,2.68
-0.13,2.56
-0.51,2.44
-0.86,2.15
-1.22,1.86
-1.57,1.57
0.42,1.16
2.41,0.75
4.41,0.34
5.76,0.46
7.11,0.57
8.46,0.68
8.49,0.89
8.53,1.1
8.56,1.31
6.77,1.78
4.97,2.26
3.18,2.73
2.41,2.69
1.64,2.66
0.87,2.62
0.41,2.67
-0.05,2.72
-0.5,2.77
-0.61,2.7
-0.71,2.63
-0.81,2.55
-0.97,2.46
-1.13,2.37
-1.29,2.28
0.91,2.32
3.11,2.36
5.32,2.4
7.11,2.64
8.91,2.89
10.71,3.13
10.85,3.53
11,3.92
11.15,4.32
9.75,3.99
8.36,3.66
6.96,3.32
6.12,3.32
5.28,3.32
4.44,3.32
3.98,3.31
3.52,3.29
3.06,3.27
2.68,3.03
2.3,2.79
1.92,2.55
1.46,2.57
1,2.59
0.54,2.61
1.79,3.15
3.04,3.7
4.29,4.25
5.49,4.28
6.69,4.3
7.89,4.33
8.01,4.58
8.14,4.84
8.27,5.09
7.02,4.92
5.76,4.75
